id,nom,sexe,date,ville,pays,profession,categorie,liste,bloc
547d62a912bdaa5876a2b357,Mohamed Frikha,H,1963-12-17 0:00:00,,Tunisie,Directeur Général d'une entreprise,Cadre supérieur dans le secteur privé,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b358,Kalthoum Badreddine,F,1963-07-28 0:00:00,Sfax,Tunisie,Avocate,Avocat,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b359,Badreddine Abdelkefi,H,1959-07-07 0:00:00,Sfax,Tunisie,Enseignant du secondaire,Enseignant du secondaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b35b,Naoufel Jammali,H,1976-10-14 0:00:00,Tunis,Tunisie,Enseignant universitaire,Enseignant universitaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b35c,Hayet Omri,F,1981-12-13 0:00:00,"Regueb, Sidi Bouzid",Tunisie,Chercheuse universitaire,Chercheur universitaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b35e,Zouheir Rajbi,H,1959-08-26 0:00:00,Siliana,Tunisie,Chef de service à la SONEDE,Cadre dans la fonction publique,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b360,Zied Laadhari,H,1975-03-30 0:00:00,Sousse,Tunisie,Avocat,Avocat,Mouvement Ennahdha,Aucun bloc
547d62a912bdaa5876a2b361,Monia Brahim,F,1966-09-23 0:00:00,Sousse,Tunisie,Etudiante,Etudiant,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b362,Lajmi Lourimi,H,1962-01-08 0:00:00,,Tunisie,Enseignant du secondaire,Enseignant du secondaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b364,Bechir Khelifi,H,1975-08-06 0:00:00,"Remada, Tataouine",Tunisie,Avocat auprès de la cour d'appel,Avocat,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b365,Jamila Jouini,F,1968-02-21 0:00:00,Tataouine,Tunisie,Enseignante du secondaire,Enseignant du secondaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b366,Hssine Yahyaoui,H,1954-06-26 0:00:00,"Ksar, Bir Lahmar",Tunisie,Ingénieur en chef en géologie,Cadre supérieur dans la fonction publique,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b368,Mohamed Lakhdhar Lajili,H,1964-03-09 0:00:00,Tozeur,Tunisie,Enseignant principal du secondaire,Enseignant du secondaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b36a,Ali Laraiedh,H,1955-08-15 0:00:00,Medenine,Tunisie,Ingénieur,Ingénieur ,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b36b,Yamina Zoghlami,F,1970-02-28 0:00:00,Tunis,Tunisie,Enseignante du secondaire,Enseignant du secondaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b36c,Nadhir Ben Ammou,H,1959-11-27 0:00:00,Nabeul,Tunisie,Avocat auprès de la cour de cassation,Avocat,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b36e,Abdelfattah Mourou,H,1948-06-01 0:00:00,Tunis,Tunisie,Avocat,Avocat,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b36f,Aroua Ben Abbas,F,1963-08-18 0:00:00,,Tunisie,Architecte d'intérieur,Architecte,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b371,Mohamed Ben Salem,H,1953-02-19 0:00:00,"Hammam Zriba, Zaghouan",Tunisie,Ingénieur agronome,Ingénieur ,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b373,Lamia Mlayah,F,1979-03-13 0:00:00,,Tunisie,Chercheuse en biochimie et électrophysiologie,Chercheur universitaire,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b375,Hatem Ferjani,H,1970-12-04 0:00:00,Hammam Lif,Tunisie,Avocat spécialisé auprès des cours européennes,Avocat,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b377,Abdelaziz Kotti,H,1970-04-30 0:00:00,Sfax,Tunisie,Membre de l'Assemblée Nationale Constituante,Non catégorisé,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b378,Leila Hamrouni,F,1960-11-12 0:00:00,,Tunisie,Chercheuse,Chercheur universitaire,Mouvement Nidaa Tounes,Bloc Al Horra
547d62a912bdaa5876a2b379,Hssan Amri,H,1977-07-12 0:00:00,Siliana,Tunisie,Commerçant,Commerçant,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b37a,Sabrine Goubantini,F,1987-11-10 0:00:00,Clichy,France,Expert comptable stagiaire,Comptable,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b37c,Mounir Hamdi,H,1967-02-28 0:00:00,,Tunisie,Avocat,Avocat,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b37d,Najla Saadaoui,F,1980-03-24 0:00:00,,Tunisie,Avocate,Avocat,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b37e,Issam Matoussi,H,1978-06-10 0:00:00,,Tunisie,Assistant universitaire,Enseignant universitaire,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b381,Wafa Makhlouf,F,1975-10-20 0:00:00,,Tunisie,Chef d'entreprise de services,Chef d'entreprise,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b382,Mohamed Troudi,H,1972-02-28 0:00:00,,Tunisie,Gérant de bureau d'études et de formation,Fonctionnaire dans le secteur privé,Mouvement Nidaa Tounes,Bloc Al Horra
547d62a912bdaa5876a2b383,Olfa Soukri,F,1976-06-16 0:00:00,Tunis,Tunisie,Enseignante universitaire,Enseignant universitaire,Mouvement Nidaa Tounes,Aucun bloc
547d62a912bdaa5876a2b385,Ali Ben Salem,H,1932-06-15 0:00:00,Bizerte,Tunisie,Retraité,Retraité,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
